u,v,key,osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,Cost of returning,Edge Betweenness,bridge,tunnel,access,junction
69555000,68374063,0,9185975,,,McLendon Avenue Northeast,tertiary,,False,False,105.858,"LINESTRING (-84.349206 33.764957, -84.3490844 33.7649587, -84.3489206 33.764961, -84.348061 33.764973)",1.650723819353291,0.0018563580277613683,,,,
69555000,69253111,0,"[9270257, 808637099]",,,Euclid Avenue Northeast,tertiary,,False,True,116.39700000000002,"LINESTRING (-84.349206 33.764957, -84.3493505 33.7649576, -84.3495818 33.7649585, -84.349714 33.764959, -84.349791 33.764948, -84.3500955 33.7647138, -84.350242 33.7646011, -84.350285 33.764568)",1.710570934363843,0.010283933560007908,,,,
69555000,69253116,0,1067785280,4,US 23;GA 42,Moreland Avenue Northeast,trunk,35 mph,False,False,56.403000000000006,"LINESTRING (-84.349206 33.764957, -84.349203 33.765012, -84.3492011 33.7650549, -84.3491982 33.7651206, -84.349188 33.765349, -84.349152 33.76546)",1.6645701063360823,0.0065306417041593534,,,,
69555000,68147058,0,"[1314618235, 1042138564, 74847327]","['5', '4']",US 23;GA 42,Moreland Avenue Northeast,trunk,35 mph,False,True,291.426,"LINESTRING (-84.349206 33.764957, -84.3492063 33.7648871, -84.3492069 33.7647572, -84.3492057 33.7646405, -84.3492071 33.7644916, -84.3492092 33.7642789, -84.3492106 33.7639731, -84.3492123 33.7636258, -84.3492126 33.7635534, -84.3492143 33.7631849, -84.3492145 33.7631451, -84.3492163 33.7627763, -84.3492171 33.7626116, -84.3492182 33.7623802, -84.3492193 33.7623362)",1.676694412314923,0.01029867185519352,,,,
69557099,283206885,0,9270343,,,Lyle Street Northwest,residential,,False,True,59.424,"LINESTRING (-84.3951634 33.7895135, -84.3945206 33.7894992)",1.463759771736481,0.0007383703933729832,,,,
69557099,286614039,0,26173284,,,Lyle Place Northwest,residential,,False,False,18.367,"LINESTRING (-84.3951634 33.7895135, -84.3951572 33.7896786)",1.2115288933028479,0.0002462447672986949,,,,
69557099,286614296,0,26173284,,,Lyle Place Northwest,residential,,False,True,76.037,"LINESTRING (-84.3951634 33.7895135, -84.3951572 33.7888297)",1.211528893302848,0.0002462447672986949,,,,
69557345,69212350,0,9270348,,,Woodson Street Southeast,residential,,False,False,133.101,"LINESTRING (-84.37921 33.734314, -84.379215 33.733117)",1.602969714736652,5.737624380900625e-05,,,,
69557345,69438647,0,9270348,,,Woodson Street Southeast,residential,,False,True,131.657,"LINESTRING (-84.37921 33.734314, -84.3792098 33.7343539, -84.379209 33.7345074, -84.3792088 33.7345415, -84.3792078 33.7347501, -84.3792075 33.7348012, -84.3792072 33.7348723, -84.3792071 33.7348958, -84.3792067 33.7349651, -84.3792065 33.7350008, -84.3792042 33.7354647, -84.379204 33.735498)",1.5885178467560275,0.0007210847385256611,,,,
69557345,69502187,0,9271026,,,Bill Lucas Drive Southwest,residential,,False,False,70.659,"LINESTRING (-84.37921 33.734314, -84.3791818 33.7343136, -84.378446 33.734303)",1.6942290933125592,0.0008989147034812702,,,,
69557345,69357442,0,9271026,,,Bill Lucas Drive Southwest,residential,,False,True,61.53099999999999,"LINESTRING (-84.37921 33.734314, -84.3795002 33.7343205, -84.3796502 33.7343239, -84.3798294 33.7343308, -84.379875 33.734329)",1.6632257130912143,0.00014234888395321107,,,,
69557935,69337713,0,9270388,,,Ashland Avenue Northeast,residential,,False,True,39.291,"LINESTRING (-84.35893 33.757887, -84.359355 33.75789)",1.274693604081532,0.0002462447672986949,,,,
69559442,69510333,0,9270483,,,Lindsay Street Northwest,residential,,False,False,49.593,"LINESTRING (-84.416488 33.766458, -84.416489 33.766904)",1.6147098751856437,0.001211148216302374,,,,
69559442,69461283,0,9270483,,,Lindsay Street Northwest,residential,,False,True,165.347,"LINESTRING (-84.416488 33.766458, -84.416485 33.764971)",1.6850799150774534,0.00015423656237452738,,,,
69559442,69190077,0,9277975,,,Neal Street Northwest,residential,,False,False,87.665,"LINESTRING (-84.416488 33.766458, -84.417436 33.76648)",1.717600376105417,0.0011637188054581427,,,,
69559442,69635505,0,9277975,,,Neal Street Northwest,residential,,False,True,85.061,"LINESTRING (-84.416488 33.766458, -84.415568 33.766442)",1.7342890482855522,0.0017819993862076245,,,,
69559450,69635515,0,9276357,,,Beutell Street Northwest,residential,,False,True,92.528,"LINESTRING (-84.416502 33.768709, -84.415501 33.768709)",1.4090397468813642,0.0016674895042716796,,,,
69559450,69259268,0,9270483,,,Lindsay Street Northwest,residential,,False,False,148.345,"LINESTRING (-84.416502 33.768709, -84.4164912 33.7694694, -84.416483 33.770043)",1.6004416297990467,0.002215778345744636,,,,
69559450,69442353,0,9270483,,,Lindsay Street Northwest,residential,,False,True,148.607,"LINESTRING (-84.416502 33.768709, -84.416515 33.767516, -84.416502 33.767373)",1.5701480801171321,0.0006672869285271531,,,,
69559455,69190090,0,9272132,,,Wheeler Street Northwest,residential,,False,False,86.238,"LINESTRING (-84.416427 33.774103, -84.41736 33.774107)",1.4424680238305416,0.00017322045699632332,,,,
69559455,69439718,0,9270483,,,Lindsay Street Northwest,residential,,False,True,117.19999999999999,"LINESTRING (-84.416427 33.774103, -84.4164284 33.7736266, -84.4164285 33.7735742, -84.4164298 33.7731324, -84.41643 33.773049)",1.6468291096594323,7.417668729219308e-05,,,,
69559455,69575135,0,9272132,,,Wheeler Street Northwest,residential,,False,True,92.523,"LINESTRING (-84.416427 33.774103, -84.4160776 33.7741016, -84.415426 33.774099)",1.6789721410778797,0.0003379497151202778,,,,
69559869,69336800,0,9270508,,,Walton Street Northwest,unclassified,,True,False,75.02,"LINESTRING (-84.3908309 33.7564728, -84.3908108 33.7564524, -84.3903648 33.7560164, -84.390305 33.755959)",5.4100836997942094,0.002598610112047434,,,,
69559869,2641404124,0,870569683,,,Fairlie Street Northwest,unclassified,,True,False,74.36800000000002,"LINESTRING (-84.3908309 33.7564728, -84.3907881 33.7565028, -84.3907431 33.756537, -84.3905636 33.7566662, -84.3902875 33.756865, -84.3902529 33.7568892, -84.3902226 33.7569104)",8.727965738374861,0.00038556108022606,,,permissive,
69559872,69493756,0,9270508,,,Walton Street Northwest,unclassified,,True,False,77.467,"LINESTRING (-84.3919121 33.757523, -84.3918371 33.7574562, -84.3916755 33.7572928, -84.3914349 33.7570667, -84.391361 33.7569984)",5.42301973326997,0.008012537861649257,,,,
69559872,69312319,0,169925548,4,,Ted Turner Drive Northwest,tertiary,35 mph,True,False,41.028999999999996,"LINESTRING (-84.3919121 33.757523, -84.3918534 33.7575663, -84.3917207 33.7576583, -84.391574 33.757762)",10.978528611746508,0.02603007340034911,,,,
69559892,69168698,0,9270835,,,Old Wheat Street Northeast,residential,,False,True,90.299,"LINESTRING (-84.367026 33.755735, -84.367817 33.755743, -84.3678629 33.7557581, -84.3679795 33.7558168)",1.5704546415997362,0.0003085944275900886,,,,
69559892,69168703,0,187952600,,,Airline Street Northeast,residential,,False,False,85.828,"LINESTRING (-84.367026 33.755735, -84.3669966 33.7562496, -84.366982 33.756506)",1.2081780378738312,8.739869696488162e-05,,,,
69559892,1985859035,0,"[187952600, 187952599]",,,"['Airline St Southeast', 'Airline Street Northeast']",residential,,False,True,222.042,"LINESTRING (-84.367026 33.755735, -84.3670611 33.7550063, -84.3669927 33.7549083, -84.3668477 33.7548592, -84.3665648 33.7548161, -84.3665542 33.7543834, -84.3665523 33.7543046, -84.3664692 33.7540401)",1.688238811029531,0.0002470938871859318,,,,
