u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,ref,width,bridge,access,tunnel,junction
16541705,16541704,0,4068003,False,2,Hosemannstraße,tertiary,50,True,50.801,"LINESTRING (13.4391511 52.5473603, 13.4392196 52.5474317, 13.4393067 52.5475223, 13.4394333 52.5476541, 13.4394773 52.5476999, 13.43953 52.5477548)",1.7951426888718531,0.002796980870583351,,,,,,
16541705,5896652502,0,30134529,True,2,Ostseestraße,primary,50,False,177.743,"LINESTRING (13.4391511 52.5473603, 13.4392091 52.5472598, 13.4393035 52.5471803, 13.4396147 52.5470586, 13.4403643 52.5467656, 13.4410732 52.5464884, 13.4411389 52.5464667, 13.4412386 52.5464337)",6.335095094308302,0.0010743775733762248,,,,,,
16541705,29269503,0,"[1090738580, 1090738581]",False,2,Hosemannstraße,tertiary,30,False,133.846,"LINESTRING (13.4391511 52.5473603, 13.4390895 52.5472961, 13.4390053 52.5472085, 13.4389767 52.5471788, 13.4389433 52.547144, 13.4387579 52.5469515, 13.4381833 52.5463637, 13.4381444 52.5463239)",1.851437728758126,0.005626145278428667,,,,,,
16541707,29421128,0,4631839,True,1,Mirbachplatz,tertiary,50,False,44.032,"LINESTRING (13.4485533 52.5529925, 13.4485539 52.5529474, 13.4485794 52.5529014, 13.4487156 52.5526561, 13.4487563 52.5526204)",6.408137229976461,0.0008593975182087137,,,,,,
16541707,1545906826,0,"[1137481874, 1134444741, 144480007]",False,"['2', '3']",Pistoriusstraße,tertiary,"['50', '30']",True,242.551,"LINESTRING (13.4485533 52.5529925, 13.448367 52.5530407, 13.4483353 52.5530493, 13.4482108 52.553083, 13.4481602 52.5530967, 13.4480437 52.5531282, 13.4478529 52.5531747, 13.4477014 52.5532162, 13.4475879 52.5532473, 13.4473692 52.5533072, 13.4471325 52.5533721, 13.446845 52.5534509, 13.4465933 52.55352, 13.4465741 52.5535253, 13.4464016 52.5535725, 13.4461712 52.5536338, 13.44602 52.553674, 13.445551 52.5538029, 13.4454652 52.5538258, 13.4452754 52.5538787)",1.3577240434221072,0.00042682389556703514,,9,,,,
16541708,16541707,0,167319505,True,1,Mirbachplatz,tertiary,50,False,22.320999999999998,"LINESTRING (13.4487952 52.5531291, 13.4486123 52.5530258, 13.4485533 52.5529925)",7.421420335930577,0.0012037090966656064,,7.4,,,,
16541708,1580751985,0,"[4684954, 1134444740]",False,,Gäblerstraße,residential,30,False,115.435,"LINESTRING (13.4487952 52.5531291, 13.4487623 52.5532015, 13.4487463 52.5532377, 13.4485293 52.5536506, 13.4484066 52.5538839, 13.44839 52.5539155, 13.4483075 52.5540725, 13.4482829 52.5541193)",1.2428883105816018,0.000273224043715847,,"['6', '5.3']",,,,
16541709,16541708,0,167319505,True,1,Mirbachplatz,tertiary,50,False,37.488,"LINESTRING (13.4493277 52.5530546, 13.4489942 52.5531156, 13.4488683 52.5531386, 13.4487952 52.5531291)",7.427097443369718,0.0012037090966656064,,7.4,,,,
16541709,51383324,0,"[1316210418, 1175300757, 4684957, 1102794394, 1102794395, 1134444733]",False,,"['Schönstraße', 'Paul-Oestreich-Straße']",residential,30,"[False, True]",428.78,"LINESTRING (13.4493277 52.5530546, 13.4494077 52.5530933, 13.449447 52.5531113, 13.4495874 52.5531781, 13.4496122 52.5531899, 13.4496339 52.5532002, 13.449856 52.553306, 13.4502575 52.553497, 13.4504007 52.5535652, 13.4505316 52.5536275, 13.4506138 52.5536666, 13.4508562 52.553785, 13.4512313 52.5539677, 13.4512553 52.5539792, 13.4518124 52.5542465, 13.4523565 52.5545102, 13.4529208 52.5547859, 13.4529698 52.5547487, 13.4537979 52.5541222, 13.4540305 52.5539574)",1.3715619609707321,6.242560823898554e-05,,5.4,,,,
16541711,6833848288,0,"[123891747, 1171100871, 1171221129, 1102794391, 1102794392]",False,,"['Amalienstraße', 'Albertinenstraße']",residential,30,"[False, True]",401.06600000000003,"LINESTRING (13.458093 52.5548556, 13.4581735 52.5548231, 13.4581992 52.5548116, 13.4589223 52.5545157, 13.4595065 52.5542833, 13.4595542 52.5542643, 13.4601243 52.5540379, 13.4601683 52.5540054, 13.460208 52.5539561, 13.4602198 52.5538632, 13.4601931 52.5535466, 13.4600066 52.5531039, 13.459906 52.5528727, 13.4598407 52.5527221, 13.4597317 52.5524704, 13.4595877 52.5521359, 13.4595199 52.5519808)",1.4864889128984737,0.0014434801828562553,,"['5', '7']",,,,
