u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,Cost of returning,Edge Betweenness,geometry,ref,bridge,width,tunnel,junction,access
81603112,194435458,0,47084018,True,,Junín,residential,40,False,125.843,8.852785527408233,0.0031076348590253757,"LINESTRING (-58.3970281 -34.6021762, -58.3969957 -34.6025252, -58.3969152 -34.6033041)",,,,,,
81603345,195572101,0,20280319,True,,Pasteur,residential,40,False,137.579,8.858741294360241,0.0009037667776990984,"LINESTRING (-58.3992593 -34.6073365, -58.3993525 -34.6061016)",,,,,,
81603345,178681857,0,348072968,True,1,Teniente General Juan Domingo Perón,residential,30,False,124.837,5.316769303221097,0.0037200598484722347,"LINESTRING (-58.3992593 -34.6073365, -58.4006193 -34.6074227)",,,,,,
81603346,194437047,0,47414721,True,,Bartolomé Mitre,residential,40,False,139.053,8.86124929633358,0.002329983425120361,"LINESTRING (-58.3992355 -34.6084717, -58.3977216 -34.6083656)",,,,,,
81603346,81603345,0,20280319,True,,Pasteur,residential,40,False,126.25,5.316660728243381,0.0011382701467058038,"LINESTRING (-58.3992355 -34.6084717, -58.3992526 -34.6075118, -58.3992593 -34.6073365)",,,,,,
81603347,81603346,0,20280319,True,,Pasteur,residential,40,False,137.162,8.861479141611984,0.0009289702582605876,"LINESTRING (-58.3991222 -34.6097017, -58.3992355 -34.6084717)",,,,,,
81603347,195722758,0,48052782,True,3,Avenida Rivadavia,primary,60,False,124.053,5.316838986195069,0.0027624908221133768,"LINESTRING (-58.3991222 -34.6097017, -58.3993976 -34.6097219, -58.399778 -34.6097518, -58.4004712 -34.6098107)",,,,,,
81603349,195796142,0,9941023,True,2,Pichincha,residential,40,False,131.263,8.862033717688314,0.0009632496035838565,"LINESTRING (-58.3989671 -34.6119847, -58.3990705 -34.6108073)",,,,,,
81603349,195582722,0,333373300,True,1,Adolfo Alsina,residential,30,False,141.614,8.796775913483854,0.0011507086520088185,"LINESTRING (-58.3989671 -34.6119847, -58.3985876 -34.6119565, -58.3980897 -34.6119194, -58.3980192 -34.6119142, -58.3976881 -34.6118895, -58.39754 -34.6118766, -58.397426 -34.6118699)",,,,,,
81603351,237615860,0,532838110,True,1,Moreno,residential,40,False,124.823,6.390648951162053,0.0035360287345795995,"LINESTRING (-58.398877 -34.6131163, -58.4002382 -34.6131878)",,,,,,
81603351,81603349,0,9941023,True,2,Pichincha,residential,40,False,126.099,8.83087974452167,0.00023691924667710717,"LINESTRING (-58.398877 -34.6131163, -58.3989551 -34.6121223, -58.3989581 -34.612088, -58.3989671 -34.6119847)",,,,,,
81603352,81603351,0,9941023,True,2,Pichincha,residential,40,False,132.359,6.5682432421119525,0.00039793422870983315,"LINESTRING (-58.3987827 -34.6143041, -58.398877 -34.6131163)",,,,,,
81603352,195582725,0,335801178,True,3,Avenida Belgrano,secondary,60,False,118.05,10.029172218943314,0.0029492969306274194,"LINESTRING (-58.3987827 -34.6143041, -58.3981665 -34.6142668, -58.3974962 -34.6142262)",,,,,,
81604125,81604126,0,39167004,True,,Venezuela,residential,40,False,129.4,6.882459765262223,0.001390598775280609,"LINESTRING (-58.3978744 -34.6148371, -58.399233 -34.6151597)",,,,,,
81604125,195582725,0,"[9941072, 348072940]",True,2,Pasco,residential,40,False,94.03399999999999,6.865366584867979,0.011143137813741707,"LINESTRING (-58.3978744 -34.6148371, -58.397515 -34.6147512, -58.3974931 -34.6147322, -58.3974732 -34.6147025, -58.3974671 -34.6146593, -58.3974809 -34.6145062, -58.3974983 -34.6143148, -58.3974962 -34.6142262)",,,,,,
81604126,195723259,0,18905925,True,2,Pichincha,residential,40,False,125.813,6.700303333194249,0.004509268318800523,"LINESTRING (-58.399233 -34.6151597, -58.3991513 -34.6161926, -58.3991442 -34.6162888)",,,,,,
81604126,81604127,0,39167004,True,,Venezuela,residential,40,False,190.902,6.688095337240601,0.0014084566818442549,"LINESTRING (-58.399233 -34.6151597, -58.4010513 -34.6154811, -58.4012743 -34.6155129)",,,,,,
81604127,195723278,0,39167004,True,,Venezuela,residential,40,False,147.839,8.968911027287323,0.001465523630058611,"LINESTRING (-58.4012743 -34.6155129, -58.4028878 -34.6154465)",,,,,,
81604127,82722305,0,647946354,True,2,Alberti,residential,40,False,120.686,6.73703487308755,0.011859021132073747,"LINESTRING (-58.4012743 -34.6155129, -58.4013509 -34.6146284, -58.4013681 -34.6144303)",,,,,,
81604130,195723362,0,18906037,True,2,Catamarca,residential,40,False,154.403,5.217296976825762,0.0016769455732143154,"LINESTRING (-58.405824 -34.6160885, -58.4054662 -34.6174455)",,,,,,
81604130,81604132,0,447506863,True,,Venezuela,residential,40,False,105.633,8.865403594253566,0.005226816633905406,"LINESTRING (-58.405824 -34.6160885, -58.4069276 -34.616367)",,,,,,
81604132,126873577,0,509519909,True,,Venezuela,residential,40,False,120.8,5.235845754084883,0.0016121086400600181,"LINESTRING (-58.4069276 -34.616367, -58.4079841 -34.6164864, -58.408237 -34.6165025)",,,,,,
81604132,195600343,0,886552473,True,2,Deán Funes,residential,40,False,164.773,8.795905148171002,0.006888189590244294,"LINESTRING (-58.4069276 -34.616367, -58.406618 -34.6176087, -58.4066059 -34.6176574, -58.4065941 -34.6177047, -58.4065657 -34.6178186)",,,,,,
81604133,237784502,0,47034512,True,,General Urquiza,residential,40,False,104.533,4.73808114423623,0.008698269611295077,"LINESTRING (-58.4094579 -34.6166148, -58.4094505 -34.6167127, -58.4094036 -34.617488, -58.4094008 -34.6175537)",,,,,,
81604133,81604134,0,47034538,True,,Venezuela,residential,40,False,141.741,5.241484179668296,0.001113686959059688,"LINESTRING (-58.4094579 -34.6166148, -58.4095403 -34.6166178, -58.4098188 -34.6166183, -58.4099482 -34.6166201, -58.4106347 -34.6166184, -58.4108878 -34.6166178, -58.4110067 -34.6166171)",,,,,,
81604134,195867007,0,39843572,True,1,24 de Noviembre,residential,40,False,142.692,5.357281980437596,0.004072941223328628,"LINESTRING (-58.4110067 -34.6166171, -58.4110094 -34.6165802, -58.4111153 -34.6156796, -58.4111322 -34.6155118, -58.4111548 -34.6153397)",,,,,,
81604134,81604135,0,47034538,True,,Venezuela,residential,40,False,158.219,8.699159764534862,0.0012247520379070793,"LINESTRING (-58.4110067 -34.6166171, -58.4110731 -34.6166197, -58.4127355 -34.6166344)",,,,,,
81604135,195723496,0,47034531,True,,Sánchez de Loria,residential,40,False,160.846,8.564684545738654,0.002279674404984021,"LINESTRING (-58.4127355 -34.6166344, -58.4126932 -34.6180805)",,,,,,
81604135,81604136,0,47034539,True,,Venezuela,residential,30,False,137.352,5.10376250381619,0.0006926060105077619,"LINESTRING (-58.4127355 -34.6166344, -58.4142362 -34.6166122)",,,,,,
81604136,192916934,0,293754081,True,2,Virrey Liniers,residential,30,False,121.213,5.125417904452297,0.013402734316464956,"LINESTRING (-58.4142362 -34.6166122, -58.414332 -34.6156631, -58.4143451 -34.6155258)",,,,,,
81604162,195723549,0,47034534,True,,Agrelo,residential,40,False,115.368,8.817492261824896,0.0012011482601273428,"LINESTRING (-58.4140785 -34.6182353, -58.4153262 -34.6183841)",,,,,,
81604162,81604565,0,334573426,True,,Virrey Liniers,residential,30,False,121.78999999999999,10.350097248896711,0.013523593493976138,"LINESTRING (-58.4140785 -34.6182353, -58.414178 -34.6172812, -58.4141946 -34.6171442)",,,,,,
81604565,195723710,0,293754079,True,,Venezuela,residential,40,False,118.827,12.615926141466714,0.0008134651880189444,"LINESTRING (-58.4141946 -34.6171442, -58.4154883 -34.6172362)",,,,,,
81604565,81604136,0,293754081,True,2,Virrey Liniers,residential,30,False,59.278,10.42683745622917,0.012710128305957195,"LINESTRING (-58.4141946 -34.6171442, -58.4142362 -34.6166122)",,,,,,
81604567,973367486,0,48395665,True,,Moreno,residential,40,False,70.589,10.625496942270154,0.0029522678072221027,"LINESTRING (-58.4145134 -34.6142892, -58.4152793 -34.6143646)",,,,,,
81604567,81604568,0,460235030,True,1,Virrey Liniers,residential,30,False,139.142,6.946782873788021,0.013229052300160393,"LINESTRING (-58.4145134 -34.6142892, -58.4147522 -34.6130534)",,,,,,
81604568,1404070234,0,131354407,False,2,Avenida Hipólito Yrigoyen,secondary,60,True,84.173,1.652364418429393,0.0062388734958304885,"LINESTRING (-58.4147522 -34.6130534, -58.4156079 -34.613331)",,,,,,
