u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,Cost of returning,Edge Betweenness,geometry,access,junction,ref,width,est_width,tunnel,bridge,service
26057304,3218700096,0,"[772016656, 295215809, 532631875, 68506253]",True,"['5', '4']",Ronda de la Universitat,secondary,"['50', '30']",False,151.432,4.9659226816012385,0.025487654570721992,"LINESTRING (2.1662922 41.3865594, 2.1661078 41.3864851, 2.165526 41.386267, 2.1653473 41.3862025, 2.1651513 41.3861307, 2.1650702 41.3861005, 2.1649732 41.3860636, 2.1649253 41.3860472, 2.1646668 41.3859535)",,,,"['11', '14']",,,,
26057304,104461036,0,68506265,True,3,Carrer de Balmes,secondary,50,False,107.808,4.778616247539215,0.0012102558658086356,"LINESTRING (2.1662922 41.3865594, 2.1664534 41.3864092, 2.1668521 41.3861306, 2.167006 41.3860167, 2.1671666 41.3859023, 2.1671987 41.3858818, 2.1672066 41.3858765)",,,,,,,,
26057312,269369082,0,304693491,True,4,Passeig de Gràcia,tertiary,50,False,12.051,6.533915356486663,0.0025517262882901316,"LINESTRING (2.16837 41.389593, 2.1682792 41.3896491, 2.1682542 41.3896564)",,,,8,,,,
26057312,3229689808,0,545718428,True,2,Gran Via de les Corts Catalanes,primary,50,False,15.587,15.596001339551085,0.018325921806740957,"LINESTRING (2.16837 41.389593, 2.1685077 41.3896272, 2.1685474 41.389637)",,,C-31,14,,,,
26057341,26057131,0,"[248565672, 1104543532]",True,4,Ronda de Sant Pere,secondary,50,False,124.624,5.428997570911703,0.02225601939048107,"LINESTRING (2.1736889 41.3893033, 2.1735115 41.3892385, 2.1734111 41.3892018, 2.1733702 41.3891869, 2.1728768 41.3890067, 2.1727338 41.3889545, 2.1726746 41.3889329, 2.1726681 41.3889307, 2.1726523 41.3889246, 2.1724132 41.3888374, 2.1723496 41.3888075)",,,,,,,,
26057341,30242757,0,"[34608163, 584532229]",True,4,Plaça d'Urquinaona,secondary_link,50,False,49.31,7.114931581705144,0.009162445528049689,"LINESTRING (2.1736889 41.3893033, 2.1736292 41.389452, 2.173626 41.3894558, 2.1736195 41.3894645, 2.1735878 41.3894979, 2.1734065 41.3896867)",,,,,,,,
26057342,26057345,0,237910182,True,2,Carrer del Bruc,residential,30,False,108.376,5.672478856696669,0.0008221524804885346,"LINESTRING (2.1753258 41.3899292, 2.1753694 41.3898965, 2.1754936 41.3898042, 2.1755209 41.389783, 2.1757693 41.3895897, 2.1760078 41.3894078, 2.1760282 41.3893913, 2.1762283 41.3892283)",,,,,,,,
26057342,26057341,0,"[546133684, 511211614]",True,4,Ronda de Sant Pere,secondary,50,False,153.34300000000002,8.603219066308583,0.023572545647436383,"LINESTRING (2.1753258 41.3899292, 2.1751258 41.3898555, 2.1750298 41.3898189, 2.1746196 41.3896622, 2.174405 41.389585, 2.1740792 41.3894678, 2.1740373 41.3894528, 2.1739949 41.3894375, 2.1739462 41.3894189, 2.1736889 41.3893033)",,,,,,,,
26057345,533662625,0,"[546184105, 237566135]",True,3,Carrer de Trafalgar,secondary,50,False,137.032,5.769942145487455,0.0098209405754217,"LINESTRING (2.1762283 41.3892283, 2.1764709 41.3894054, 2.1764716 41.3894059, 2.1764867 41.389417, 2.176903 41.389722, 2.1769405 41.3897513, 2.1772217 41.3899686, 2.1772564 41.3899932, 2.1773652 41.3900703, 2.1773975 41.3900937)",,,,,,,,
26057346,26057345,0,546184105,True,3,Carrer de Trafalgar,secondary,50,False,41.504,16.436609159033512,0.008998788094933166,"LINESTRING (2.1758863 41.3889575, 2.1760227 41.3890608, 2.1760538 41.3890847, 2.1761528 41.3891609, 2.1762283 41.3892283)",,,,,,,,
