osmid,y,x,highway,street_count,geometry
206163512,-34.6283565,-58.4449741,,4,POINT (-58.4449741 -34.6283565)
206163513,-34.6319601,-58.4434712,traffic_signals,3,POINT (-58.4434712 -34.6319601)
206163514,-34.6295753,-58.4444823,traffic_signals,4,POINT (-58.4444823 -34.6295753)
206163516,-34.6235117,-58.4486567,traffic_signals,3,POINT (-58.4486567 -34.6235117)
206163517,-34.6263938,-58.4474833,,4,POINT (-58.4474833 -34.6263938)
206163518,-34.6274729,-58.4470037,traffic_signals,4,POINT (-58.4470037 -34.6274729)
206163519,-34.628607,-58.4465495,,4,POINT (-58.4465495 -34.628607)
206163520,-34.6298175,-58.4460694,traffic_signals,4,POINT (-58.4460694 -34.6298175)
206163521,-34.6328771,-58.4447242,,3,POINT (-58.4447242 -34.6328771)
206163522,-34.6239961,-58.4498854,,3,POINT (-58.4498854 -34.6239961)
206163523,-34.6260067,-58.449111,traffic_signals,4,POINT (-58.449111 -34.6260067)
206163524,-34.6277873,-58.448398,traffic_signals,4,POINT (-58.448398 -34.6277873)
206163525,-34.6288175,-58.4479809,,4,POINT (-58.4479809 -34.6288175)
206163526,-34.6300439,-58.4475449,traffic_signals,3,POINT (-58.4475449 -34.6300439)
206163527,-34.6328599,-58.4512012,,4,POINT (-58.4512012 -34.6328599)
206163528,-34.6325174,-58.4502066,,4,POINT (-58.4502066 -34.6325174)
206163529,-34.6310037,-58.4455397,,4,POINT (-58.4455397 -34.6310037)
206163530,-34.6305313,-58.4440783,,4,POINT (-58.4440783 -34.6305313)
206163531,-34.6347557,-58.4472993,traffic_signals,4,POINT (-58.4472993 -34.6347557)
206163532,-34.6320122,-58.4485857,,4,POINT (-58.4485857 -34.6320122)
206163533,-34.6303108,-58.4493621,traffic_signals,4,POINT (-58.4493621 -34.6303108)
206163534,-34.6291357,-58.4499148,traffic_signals,4,POINT (-58.4499148 -34.6291357)
206163535,-34.6281482,-58.4503612,traffic_signals,4,POINT (-58.4503612 -34.6281482)
206163536,-34.6248371,-58.4520022,traffic_signals,3,POINT (-58.4520022 -34.6248371)
206163537,-34.6264206,-58.4404864,traffic_signals,3,POINT (-58.4404864 -34.6264206)
206163539,-34.6228734,-58.4408601,traffic_signals,4,POINT (-58.4408601 -34.6228734)
206163540,-34.620813,-58.4410903,traffic_signals,4,POINT (-58.4410903 -34.620813)
206163541,-34.6278114,-58.4413322,,3,POINT (-58.4413322 -34.6278114)
206163542,-34.6265704,-58.4415112,traffic_signals,4,POINT (-58.4415112 -34.6265704)
206163543,-34.6251143,-58.4416528,,4,POINT (-58.4416528 -34.6251143)
206163544,-34.6279257,-58.4420658,,3,POINT (-58.4420658 -34.6279257)
206163545,-34.6266671,-58.4422782,,4,POINT (-58.4422782 -34.6266671)
206163546,-34.6252026,-58.4425491,,3,POINT (-58.4425491 -34.6252026)
206163547,-34.6241081,-58.4447942,,3,POINT (-58.4447942 -34.6241081)
206163548,-34.6240199,-58.4434428,,4,POINT (-58.4434428 -34.6240199)
206163549,-34.6239105,-58.4417817,,4,POINT (-58.4417817 -34.6239105)
206163550,-34.6238353,-58.4407577,,4,POINT (-58.4407577 -34.6238353)
206163552,-34.6237226,-58.4393819,,4,POINT (-58.4393819 -34.6237226)
206163553,-34.6293402,-58.4429158,traffic_signals,4,POINT (-58.4429158 -34.6293402)
206163554,-34.6312035,-58.442427,traffic_signals,4,POINT (-58.442427 -34.6312035)
206163557,-34.633578,-58.4401694,traffic_signals,3,POINT (-58.4401694 -34.633578)
206163558,-34.632139,-58.4373587,traffic_signals,4,POINT (-58.4373587 -34.632139)
206163559,-34.6319878,-58.4364398,,4,POINT (-58.4364398 -34.6319878)
206163560,-34.6317395,-58.434851,,4,POINT (-58.434851 -34.6317395)
206163561,-34.6344056,-58.4394937,,3,POINT (-58.4394937 -34.6344056)
206163562,-34.6330857,-58.4367338,,4,POINT (-58.4367338 -34.6330857)
206170251,-34.643142,-58.4392242,,4,POINT (-58.4392242 -34.643142)
206170260,-34.6309973,-58.4421525,traffic_signals,4,POINT (-58.4421525 -34.6309973)
213483071,-34.6146248,-58.4456758,,4,POINT (-58.4456758 -34.6146248)
213483090,-34.6156217,-58.445229,,4,POINT (-58.445229 -34.6156217)
213483133,-34.613892,-58.4474435,,4,POINT (-58.4474435 -34.613892)
213483140,-34.6143605,-58.448546,,4,POINT (-58.448546 -34.6143605)
