u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,Cost of returning,Edge Betweenness,access,ref,tunnel,bridge,width,junction
42423774,42426865,0,"[988994185, 959157335]",True,4,FDR Drive,motorway,40 mph,False,117.78,"LINESTRING (-73.9738156 40.738339, -73.9743428 40.7376221, -73.974504 40.7374172)",16.361708395145687,0.017932104752667315,,FDR,,,,
42423832,42423847,0,"[223694352, 273895447]",True,1,,motorway_link,,False,59.343999999999994,"LINESTRING (-73.998505 40.7587817, -73.9987719 40.7588148, -73.9989728 40.7588427, -73.9992001 40.7588687)",16.468066878980686,0.03892707874085178,,,,,,
42423836,593920879,0,46435657,True,1,West 41st Street,unclassified,25 mph,False,26.681,"LINESTRING (-73.9969538 40.7593876, -73.9972272 40.7595088)",11.62707160790861,0.0021306763072039504,,,,,,
42423836,42446506,0,5669227,True,2,Galvin Avenue,secondary,25 mph,False,79.95,"LINESTRING (-73.9969538 40.7593876, -73.9970135 40.7593357, -73.9975282 40.7588875, -73.9975781 40.758846)",5.15919246349146,0.03139305763748053,,,,,,
42423847,3272815945,0,"[8028104, 320888292, 8028094, 60325671]",True,2,Lincoln Tunnel,motorway,35 mph,False,2452.968,"LINESTRING (-73.9992001 40.7588687, -73.9994415 40.7589156, -73.9996525 40.7589676, -73.9998669 40.7590343, -74.0095468 40.7631084, -74.0193925 40.7672521, -74.0196344 40.7673348, -74.0198871 40.7673995, -74.020146 40.767445, -74.0204096 40.767471, -74.0206756 40.7674774, -74.0209414 40.7674639, -74.0212034 40.7674309, -74.0214605 40.7673785, -74.0217098 40.7673072, -74.0219481 40.7672179, -74.0221737 40.7671114, -74.0223847 40.7669886, -74.0225787 40.7668506, -74.0227539 40.7666991, -74.0229086 40.7665352, -74.023366 40.7660018, -74.023463 40.7658885, -74.0235503 40.7657764, -74.0236288 40.7656732, -74.0237144 40.7655507, -74.0237936 40.7654329, -74.023906 40.76515)",16.492524424379308,0.10509061517208947,,"['NY 495', 'NJ 495']",yes,,,
42423885,427804196,0,954520390,True,1,West 39th Street,residential,,False,96.06800000000001,"LINESTRING (-73.9968456 40.7577433, -73.9969895 40.7577955, -73.9978539 40.7581469)",8.24035571221338,0.06694236251947212,,,,,,
42423885,42446504,0,"[1041012064, 1041012063]",True,5,10th Avenue,primary,25 mph,False,76.58599999999998,"LINESTRING (-73.9968456 40.7577433, -73.996801 40.7578063, -73.9967918 40.7578188, -73.9966861 40.7579622, -73.9964554 40.7582784, -73.9964055 40.758346)",7.270376573690009,0.005317696852129442,,,,,69.6 ft,
42424025,4779073677,0,485139335,True,2,East 96th Street,secondary,25 mph,False,28.95,"LINESTRING (-73.9437833 40.7828748, -73.9437932 40.7828999, -73.9438238 40.7829368, -73.9438529 40.7829565, -73.9440388 40.7830347)",2.4819655400979226,0.0012187637774446697,,,,,,
42424032,595245843,0,"[420624663, 352858405, 1016425694, 195743215]",False,"['2', '3']",West 72nd Street,secondary,25 mph,False,121.56199999999998,"LINESTRING (-73.9856862 40.780311, -73.9857588 40.7803388, -73.9860353 40.7804511, -73.9862482 40.7805446, -73.9865628 40.7806784, -73.9866368 40.7806978, -73.986693 40.7807105, -73.9867392 40.7807163, -73.9867982 40.7807202, -73.9868623 40.7807207, -73.9869329 40.7807181, -73.9869955 40.7807084)",1.423185858215838,0.0002691708550098463,,,,yes,,
42424032,42431004,0,"[169381964, 420895733]",False,4,West 72nd Street,secondary,25 mph,True,115.65599999999999,"LINESTRING (-73.9856862 40.780311, -73.9855826 40.7802698, -73.9849613 40.7800179, -73.9846121 40.7798683, -73.9844806 40.7798127)",1.6511810594343994,0.0010501131587455546,,,,,,
42424032,42432572,0,439801907,False,,Riverside Drive,secondary,,True,88.493,"LINESTRING (-73.9856862 40.780311, -73.9856318 40.7804438, -73.9854032 40.7809994, -73.9853731 40.7810707)",1.4417311717425816,0.0009202598242365459,,,,,,
42424089,371037237,0,32947292,True,2,,trunk_link,,False,36.203,"LINESTRING (-73.9643559 40.7606212, -73.9642149 40.7606496, -73.9641501 40.760665, -73.9640869 40.7606782, -73.9640226 40.7606885, -73.9639388 40.7606981)",16.153359273169457,0.001364429944449343,,NY 25,,,,
42424089,371037281,0,"[534878088, 534878087, 198924551]",True,1,East 59th Street,residential,25 mph,False,139.13,"LINESTRING (-73.9643559 40.7606212, -73.9636948 40.7603396, -73.963417 40.7602245, -73.96317 40.7601231, -73.9629046 40.7600241)",15.801062647607372,0.003300708344355289,,,,,,
42424089,42442961,0,"[818182930, 358290454]",True,"['5', '6']",2nd Avenue,primary,25 mph,False,79.487,"LINESTRING (-73.9643559 40.7606212, -73.9643965 40.7605619, -73.9644984 40.7604201, -73.9647641 40.7600473, -73.9648028 40.7599916)",11.09776092780012,0.035469888016929726,,,,,21,
42424142,42424145,0,46211822,True,1,,motorway_link,,False,122.072,"LINESTRING (-73.9484005 40.769641, -73.9484377 40.7696022, -73.9489165 40.7690721, -73.9489824 40.7689938, -73.94905 40.7689115, -73.9491341 40.7687032)",24.720444715744073,0.004371454604238309,,,,,,
42424142,4562863353,0,46694761,True,1,East 78th Street,residential,25 mph,False,101.82499999999999,"LINESTRING (-73.9484005 40.769641, -73.9484285 40.7696536, -73.9493699 40.7700538, -73.9493851 40.7700602, -73.9494 40.7700666, -73.9494513 40.7700936)",7.827248471900815,2.3454721805837227e-05,,,,,,
42424145,42438809,0,"[32960689, 489022290, 489022291]",True,3,FDR Drive,motorway,40 mph,False,241.86899999999997,"LINESTRING (-73.9491341 40.7687032, -73.949282 40.7685229, -73.9495765 40.7681272, -73.9497192 40.7679418, -73.9498841 40.7677522, -73.9501457 40.7674538, -73.9501703 40.7674299, -73.9504376 40.7671343, -73.9505158 40.7670418, -73.9505855 40.7669602, -73.9506562 40.7668604)",24.69129102449597,0.004972812509184963,,FDR,,,,
42424218,9140954071,0,5671810,True,1,West 54th Street,secondary,25 mph,False,21.408,"LINESTRING (-73.9950359 40.7693891, -73.9949764 40.7693395, -73.9949444 40.7693144, -73.9949134 40.7692923, -73.9948799 40.7692721, -73.9948496 40.76926)",6.370678438234383,0.0007376774534873468,,,,,,
42424218,2348991703,0,421852035,True,4,12th Avenue,trunk,30 mph,False,48.837,"LINESTRING (-73.9950359 40.7693891, -73.9950619 40.7693406, -73.9950888 40.7692965, -73.9951175 40.7692579, -73.9953081 40.7690018)",11.41196126106778,0.0008423713370367105,,NY 9A,,,,
42424225,42438859,0,5670738,False,2,West 77th Street,residential,25 mph,False,274.03700000000003,"LINESTRING (-73.9735934 40.7794865, -73.9737066 40.779544, -73.9737424 40.7795587, -73.9747351 40.7799769, -73.9752452 40.7801899, -73.9762556 40.7806159, -73.9762958 40.7806322, -73.9764438 40.7806719)",1.6664122943623174,0.0008110983746289275,,,,,,
42424225,42435301,0,1271523174,False,4,Central Park West,secondary,25 mph,True,85.33800000000001,"LINESTRING (-73.9735934 40.7794865, -73.9736486 40.7794104, -73.9736737 40.7793764, -73.9740373 40.7788725, -73.9740803 40.7788134)",1.4709323117225774,0.000933074684772066,,,,,,
