u,v,key,osmid,oneway,name,highway,reversed,length,geometry,Cost of returning,Edge Betweenness,lanes,maxspeed,bridge,ref,junction,access,tunnel
4453703042,4453703041,0,448350834,True,,residential,False,33.597,"LINESTRING (-45.8639296 -23.1995818, -45.8639321 -23.1996739, -45.8639404 -23.1997237, -45.8639619 -23.1997531, -45.8640059 -23.199759, -45.8640339 -23.1997495, -45.8640778 -23.1997108)",15.15369849664785,0.00199893541967381,,,,,,,
4467793019,1324812731,0,219727897,True,Praça Takeshi,residential,False,48.767,"LINESTRING (-45.8868444 -23.2192747, -45.8867481 -23.2193034, -45.8866672 -23.2193087, -45.8865586 -23.2193096, -45.8864762 -23.2192953, -45.8863816 -23.2192592)",9.486291107565055,0.0004311012148556139,,,,,,,
4604470813,4604470818,0,465496261,True,,residential,False,118.743,"LINESTRING (-45.8602122 -23.1841725, -45.8602559 -23.184136, -45.8603239 -23.1841128, -45.8608636 -23.1842321, -45.8613241 -23.1843393)",6.933070994505118,0.0017486226225446972,,,,,,,
4604470813,4604470819,0,744611059,True,Avenida Presidente Juscelino Kubitschek,primary,False,129.375,"LINESTRING (-45.8602122 -23.1841725, -45.8607183 -23.1842949, -45.8610793 -23.184387, -45.8614325 -23.1844811)",5.52286430441143,0.017531783154524472,,50,,,,,
4604470817,2061127768,0,745279263,True,,residential,False,13.011,"LINESTRING (-45.8620672 -23.1846392, -45.8619935 -23.1847346)",8.821653545609642,0.0002777846266140325,,,,,,,
4604470817,8521224260,0,745279264,True,Avenida Presidente Juscelino Kubitschek,primary,False,90.879,"LINESTRING (-45.8620672 -23.1846392, -45.8621871 -23.1846707, -45.8623215 -23.1847052, -45.8624522 -23.1847324, -45.8625503 -23.1847505, -45.8626359 -23.1847539, -45.8627576 -23.184749, -45.8628603 -23.1847414, -45.8629398 -23.1847312)",15.632192952898324,0.01814711458806711,,,,,,,
4604470818,4604470819,0,465492727,True,,residential,False,19.441,"LINESTRING (-45.8613241 -23.1843393, -45.8613981 -23.1844164, -45.8614325 -23.1844811)",6.940705621872025,0.00024974959333557193,,,,,,,
4604470818,1456123881,0,"[465492725, 745279262]",True,,residential,False,85.73700000000001,"LINESTRING (-45.8613241 -23.1843393, -45.8614824 -23.1843784, -45.8617963 -23.1844703, -45.8619831 -23.1845022, -45.8620597 -23.1844878, -45.8621012 -23.1844279)",11.866572766719514,0.0014988730292091253,,,,,,,
4604470819,4604470820,0,745279257,True,,residential,False,12.919,"LINESTRING (-45.8614325 -23.1844811, -45.8613981 -23.1845929)",5.263577080253241,0.0008555065623880241,,,,,,,
4604470819,4604470817,0,745279258,True,Avenida Presidente Juscelino Kubitschek,primary,False,67.23,"LINESTRING (-45.8614325 -23.1844811, -45.8619687 -23.1846194, -45.8620672 -23.1846392)",8.720045668633624,0.01692602618547202,,,,,,,
4604470820,4604470821,0,745279261,True,,residential,False,8.687,"LINESTRING (-45.8613981 -23.1845929, -45.8613659 -23.1846652)",11.564735232440029,0.0005936793765909724,,,,,,,
4604470820,1437713760,0,745279260,True,Avenida Presidente Juscelino Kubitschek,primary,False,130.415,"LINESTRING (-45.8613981 -23.1845929, -45.8610486 -23.1845014, -45.8606682 -23.1843968, -45.8603139 -23.184276, -45.8601818 -23.1842408)",5.139318357929668,0.02262183130594569,,50,,,,,
4604470821,1455257556,0,745279259,True,Avenida Projetada,residential,False,27.62,"LINESTRING (-45.8613659 -23.1846652, -45.8611041 -23.1846037)",9.746016101012492,0.00992496498436859,,,,,,,
4604501210,1455224046,0,744611050,True,Rua Ricardo Edwards,residential,False,8.517,"LINESTRING (-45.8563694 -23.1823911, -45.8563006 -23.1824343)",14.99376436791715,0.004511950746451534,,,,,,,
4604501210,1914641092,0,132374334,False,Rua Ricardo Edwards,residential,True,246.52300000000002,"LINESTRING (-45.8563694 -23.1823911, -45.856415 -23.1823043, -45.8564482 -23.1822261, -45.8566191 -23.1818228, -45.856659 -23.181737, -45.8569975 -23.181008, -45.8572392 -23.1804875, -45.8573041 -23.1803477)",1.8105853421769673,8.135165906696155e-06,,,,,,,
4604501210,4604501213,0,744611049,True,Avenida Presidente Juscelino Kubitschek,primary,False,103.98000000000002,"LINESTRING (-45.8563694 -23.1823911, -45.8566569 -23.1825439, -45.8571589 -23.182814, -45.8572487 -23.1828613)",12.619449978725331,0.0012550683648053697,,,,,,,
4604501213,1456140398,0,744611054,True,Avenida Presidente Juscelino Kubitschek,primary,False,170.192,"LINESTRING (-45.8572487 -23.1828613, -45.8573322 -23.1829059, -45.8585473 -23.183617, -45.8586557 -23.1836796)",6.467329376631115,0.010753312608268105,,,,,,,
4604501215,1455234221,0,744611057,True,Avenida Presidente Juscelino Kubitschek,primary,False,50.49100000000001,"LINESTRING (-45.858609 -23.183758, -45.8584883 -23.1836917, -45.8583018 -23.1835869, -45.8582348 -23.1835493, -45.8581868 -23.1835223)",6.634789045358873,0.0218700168197684,,,,,,,
4604559707,1455224063,0,744611043,True,Avenida Uberaba,tertiary,False,8.536,"LINESTRING (-45.8487477 -23.1802882, -45.8487569 -23.1803645)",14.221379731294927,0.011129595320552445,,,,,,,
4604559707,1456142580,0,744611041,True,Avenida Presidente Juscelino Kubitschek,primary,False,311.124,"LINESTRING (-45.8487477 -23.1802882, -45.8489046 -23.1802808, -45.8506015 -23.1802151, -45.85106 -23.1801914, -45.8515207 -23.1801237, -45.8517731 -23.1800576)",15.340321615786914,0.0013074463176046365,1,,,,,,
4604559709,1456142613,0,465499028,True,,primary_link,False,50.901,"LINESTRING (-45.8474285 -23.1804604, -45.847881 -23.1802693)",19.22085642572786,0.0001358572706418258,1,,,,,,
4604559709,4604559707,0,217878411,True,Avenida Presidente Juscelino Kubitschek,primary,False,136.20299999999997,"LINESTRING (-45.8474285 -23.1804604, -45.8480743 -23.1803711, -45.8487477 -23.1802882)",14.225500639691095,0.0018125775422111856,1,,,,,,
4604596211,4604596214,0,744611040,True,Avenida Presidente Juscelino Kubitschek,primary,False,77.69399999999999,"LINESTRING (-45.8415966 -23.1784445, -45.8414222 -23.1782687, -45.8412099 -23.1780812, -45.8410783 -23.1779345)",14.525509471717648,0.0019484348128530112,4,,,,,,
4604596214,5171369973,0,217878411,True,Avenida Presidente Juscelino Kubitschek,primary,False,217.18699999999998,"LINESTRING (-45.8410783 -23.1779345, -45.8411592 -23.1779475, -45.8412337 -23.1779798, -45.8412805 -23.1780041, -45.8413284 -23.1780483, -45.8414424 -23.1781429, -45.8416075 -23.1783361, -45.8417565 -23.1785484, -45.8421894 -23.1791566, -45.842278 -23.1792743, -45.8423604 -23.1793799, -45.842404 -23.179411)",14.145302142664503,0.0019484348128530112,1,,,,,,
4604596214,4604596226,0,465499031,False,,primary,False,148.244,"LINESTRING (-45.8410783 -23.1779345, -45.8409397 -23.1778606, -45.8406605 -23.1777363, -45.8404351 -23.177657, -45.8401849 -23.1775986, -45.8399233 -23.1775664, -45.8397078 -23.1775485)",1.36113510295324,0.0005001249686639666,4,,,,,,
4604596226,4604596227,0,886073443,False,Avenida Presidente Juscelino Kubitschek,primary,False,185.746,"LINESTRING (-45.8397078 -23.1775485, -45.8378907 -23.1775551)",1.0503197913964781,0.0002501250625312656,3,,,,,,
4604596226,4604596214,0,465499031,False,,primary,True,148.24399999999997,"LINESTRING (-45.8397078 -23.1775485, -45.8399233 -23.1775664, -45.8401849 -23.1775986, -45.8404351 -23.177657, -45.8406605 -23.1777363, -45.8409397 -23.1778606, -45.8410783 -23.1779345)",1.3611351029532412,0.0005001249686639666,4,,,,,,
4604596227,4604596226,0,886073443,False,Avenida Presidente Juscelino Kubitschek,primary,True,185.746,"LINESTRING (-45.8378907 -23.1775551, -45.8397078 -23.1775485)",1.0503197913964772,0.0002501250625312656,3,,,,,,
4799178996,1455276984,0,222089657,False,Rua dos Pardais,residential,False,49.848,"LINESTRING (-45.8470904 -23.1817146, -45.8466599 -23.181504)",1.2177763113749818,5.125154521218577e-05,,,,,,,
4799178996,1698476989,0,222089657,False,Rua dos Pardais,residential,True,59.613,"LINESTRING (-45.8470904 -23.1817146, -45.8476015 -23.1819728)",1.7179507443851698,0.000567709423888827,,,,,,,
4799178996,8863327086,0,957890810,False,,residential,True,77.987,"LINESTRING (-45.8470904 -23.1817146, -45.8469716 -23.1819152, -45.8469545 -23.1819353, -45.846929 -23.1819335, -45.8465138 -23.181749)",1.094839369985297,6.257819928227811e-07,,,,,,,
4936302830,8959712576,0,1186691125,False,Rua Aldo José de Souza,residential,False,20.726,"LINESTRING (-45.8572652 -23.186307, -45.8570689 -23.1862603)",1.6292426434354257,0.0049038780085564415,,,,,,,
4936302830,1455257559,0,1186691127,True,Rua Aldo José de Souza,residential,False,218.136,"LINESTRING (-45.8572652 -23.186307, -45.8573522 -23.186303, -45.8585856 -23.186659, -45.85885 -23.186742, -45.8592578 -23.1868635, -45.8592917 -23.1868923)",2.585510536094137,0.0015601996645057579,,,,,,,
5035956669,8878122592,0,132452989,True,Avenida Barbacena,secondary,False,159.517,"LINESTRING (-45.8428808 -23.1716284, -45.8441592 -23.1719078, -45.8444056 -23.1719111)",6.233661922582744,0.005662576096654781,,,,,,,
5171369973,5171369976,0,217878411,True,Avenida Presidente Juscelino Kubitschek,primary,False,58.495,"LINESTRING (-45.842404 -23.179411, -45.8425237 -23.1794986, -45.842661 -23.1795758, -45.842862 -23.179637, -45.842907 -23.179648)",14.241726612498017,0.0019484348128530112,1,,,,,,
