osmid,y,x,street_count,highway,geometry
8959097990,-22.8905101,-43.2316625,1,,POINT (-43.2316625 -22.8905101)
8959097991,-22.8899516,-43.2311932,3,,POINT (-43.2311932 -22.8899516)
8959097992,-22.8864521,-43.2326147,1,,POINT (-43.2326147 -22.8864521)
8959134214,-22.8888793,-43.2378812,1,,POINT (-43.2378812 -22.8888793)
8959156882,-22.8846162,-43.2470607,3,,POINT (-43.2470607 -22.8846162)
8959170417,-22.8872101,-43.2346257,3,,POINT (-43.2346257 -22.8872101)
8959266135,-22.8916604,-43.2430525,1,,POINT (-43.2430525 -22.8916604)
8959266146,-22.8956534,-43.2442206,1,,POINT (-43.2442206 -22.8956534)
8959647202,-22.897551,-43.2357113,1,,POINT (-43.2357113 -22.897551)
8959647204,-22.8974982,-43.2368472,3,,POINT (-43.2368472 -22.8974982)
8959648906,-22.8763486,-43.2226983,3,,POINT (-43.2226983 -22.8763486)
8959850790,-22.9270857,-43.2312012,1,,POINT (-43.2312012 -22.9270857)
8959850791,-22.9266237,-43.2307613,3,,POINT (-43.2307613 -22.9266237)
8959850799,-22.9300303,-43.2325345,3,,POINT (-43.2325345 -22.9300303)
8959850802,-22.9306265,-43.232066,1,,POINT (-43.232066 -22.9306265)
8959850805,-22.9301581,-43.2315048,3,,POINT (-43.2315048 -22.9301581)
8959850806,-22.930425,-43.2317948,3,,POINT (-43.2317948 -22.930425)
8959862824,-22.9288977,-43.2302696,3,,POINT (-43.2302696 -22.9288977)
8959862825,-22.9292201,-43.2298132,3,,POINT (-43.2298132 -22.9292201)
8959862826,-22.929058,-43.2300477,3,,POINT (-43.2300477 -22.929058)
8959862827,-22.9287521,-43.2309806,3,,POINT (-43.2309806 -22.9287521)
8959862828,-22.9291769,-43.2305864,3,,POINT (-43.2305864 -22.9291769)
8959862833,-22.9295069,-43.2305325,3,,POINT (-43.2305325 -22.9295069)
8959862834,-22.9296832,-43.2303321,3,,POINT (-43.2303321 -22.9296832)
8959862838,-22.9293744,-43.2296013,3,,POINT (-43.2296013 -22.9293744)
8959984093,-22.9032257,-43.2363023,3,,POINT (-43.2363023 -22.9032257)
8961909839,-22.9284733,-43.2142295,1,,POINT (-43.2142295 -22.9284733)
8961909845,-22.9364444,-43.2146738,1,,POINT (-43.2146738 -22.9364444)
