u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,Inverse SP,Cost of return,Edge Betweenness,geometry,ref,bridge,junction,width,tunnel,access,Groups
83538461,83549945,0,"[1369607040, 1369607041, 1369607037, 140417407]",secondary,5,35 mph,600 North,False,False,249.81512355607995,249.81512355607995,1.728748208449757,0.01363902928007921,"LINESTRING (-111.9225373 40.7823862, -111.9226832 40.7823852, -111.9236586 40.782389, -111.9241109 40.782397, -111.924312 40.7824009, -111.9246125 40.7824046, -111.9250088 40.7824111, -111.9253684 40.7824131, -111.925504 40.7824132)",,,,,,,B
83538461,83549941,0,"[1023310800, 1023310799]",secondary,5,35 mph,600 North,False,True,117.65621092157873,117.65621092157873,1.759890105044163,0.01382513706337383,"LINESTRING (-111.9225373 40.7823862, -111.9219631 40.7823864, -111.9211399 40.7823873)",,,,,,,B
83538461,83538459,0,1109957512,residential,2,20 mph,1100 West,False,True,122.0822697519906,122.0822697519906,1.594594888126728,0.0017184654947558552,"LINESTRING (-111.9225373 40.7823862, -111.9225523 40.7822275, -111.9225522 40.7817959, -111.9225551 40.7812887)",,,,,,,C
83538463,83538465,0,10127051,residential,2,20 mph,Rambler Drive,False,False,109.92835182490401,109.92835182490401,1.389284953295991,0.00039005309256129474,"LINESTRING (-111.9224946 40.7834631, -111.9224932 40.7835371, -111.9224753 40.7844516)",,,,,,,C
83538463,83538461,0,10127051,residential,2,20 mph,Rambler Drive,False,True,119.80679062061462,119.80679062061462,1.9205032815282916,0.004204032475896054,"LINESTRING (-111.9224946 40.7834631, -111.9224969 40.7833976, -111.922526 40.7825377, -111.9225373 40.7823862)",,,,,,,C
83538463,83543253,0,"[39429570, 311054643, 10132214]",residential,2,"['25 mph', '20 mph']","['Briarcliff Avenue', 'Lamarne Street']",False,False,205.5230446137963,205.5230446137963,1.7582506273618719,0.0035297212724008133,"LINESTRING (-111.9224946 40.7834631, -111.9226132 40.7834629, -111.9233753 40.7834615, -111.9234239 40.7835226, -111.923413 40.7842292, -111.9237689 40.7845295)",,,,,,,C
83538463,83540835,0,"[10132214, 10150150]",residential,2,20 mph,"['Briarcliff Avenue', 'Grenoble Street']",False,"[False, True]",243.78951036676114,236.29875832124813,1.4077412342826212,0.0,"LINESTRING (-111.9224946 40.7834631, -111.9224282 40.7834623, -111.9209944 40.7834453, -111.9209779 40.784444, -111.920977 40.7845016)",,,,,,,C
83538465,83538468,0,10127051,residential,2,20 mph,Rambler Drive,False,False,238.62989087930356,238.62989087930362,1.5303193603041698,6.827466837578869e-05,"LINESTRING (-111.9224753 40.7844516, -111.9224044 40.784611, -111.9220104 40.7849079, -111.9216321 40.7851653, -111.9214961 40.785207, -111.9213438 40.7852228, -111.9202216 40.7852096, -111.9200967 40.7852081)",,,,,,,C
83538465,83538463,0,10127051,residential,2,20 mph,Rambler Drive,False,True,109.92835182490401,109.92835182490401,1.3892849532959928,0.00040305779129954023,"LINESTRING (-111.9224753 40.7844516, -111.9224932 40.7835371, -111.9224946 40.7834631)",,,,,,,C
83538465,83540835,0,140417405,residential,2,20 mph,Signora Drive,False,True,126.37040649634412,126.37040649634412,1.0984608212886737,0.000535125779161587,"LINESTRING (-111.9224753 40.7844516, -111.9223956 40.7844523, -111.9217704 40.7844531, -111.9213718 40.7844738, -111.920977 40.7845016)",,,,,,,C
