u,v,key,osmid,name,highway,oneway,reversed,length,Cost of returning,Edge Betweenness,geometry,lanes,maxspeed,bridge,ref,access,tunnel,junction
122381517,122510309,0,"[13277068, 13255084]","['George Washington Drive', 'South Fountain Street']",residential,False,"[False, True]",369.3539999999999,1.4208722969391505,0.0,"LINESTRING (-97.2884507 37.6518833, -97.288447 37.651137, -97.2884544 37.6510324, -97.2884832 37.6509246, -97.2885215 37.6508556, -97.2885852 37.6507764, -97.2886475 37.650717, -97.2889131 37.6504935, -97.2889513 37.6504765, -97.2889908 37.6504723, -97.2890317 37.6504898, -97.2890773 37.6505238, -97.2893971 37.6507782, -97.290252 37.651445, -97.2905618 37.6516881)",,,,,,,
122381517,122370608,0,13255084,South Fountain Street,residential,False,True,202.67600000000002,1.5672131970345153,4.8228440107758607e-05,"LINESTRING (-97.2884507 37.6518833, -97.2884549 37.6536752, -97.288455 37.653706)",,,,,,,
122381517,122420979,0,13272920,East Blake Street,residential,False,False,101.66499999999999,1.8807206624739563,0.0005448215801932188,"LINESTRING (-97.2884507 37.6518833, -97.287897 37.651888, -97.287296 37.651895)",,,,,,,
122381548,122283124,0,13256147,East Willow,residential,False,True,26.406,1.2280554540022781,0.00011308988139725926,"LINESTRING (-97.288904 37.6856451, -97.2891552 37.685775)",,,,,,,
122381548,122381560,0,13255089,South Fountain Street,residential,False,False,145.82600000000002,1.9828235369582812,7.720908408817379e-05,"LINESTRING (-97.288904 37.6856451, -97.288955 37.685153, -97.289041 37.68471, -97.2890223 37.6843408)",,,,,,,
122381548,122283125,0,13255089,South Fountain Street,residential,False,True,33.644999999999996,1.237278473754734,0.00020983729438450995,"LINESTRING (-97.288904 37.6856451, -97.288901 37.6857327, -97.2889685 37.6859409)",,,,,,,
122381560,679897933,0,13255089,South Fountain Street,residential,False,False,47.884,1.211243536194148,5.846972031136397e-05,"LINESTRING (-97.2890223 37.6843408, -97.2889952 37.6839107)",,,,,,,
122381560,122502321,0,13271713,East English Street,residential,False,False,39.322,1.4023721819935635,8.643349959071196e-06,"LINESTRING (-97.2890223 37.6843408, -97.2887101 37.6840878)",,,,,,,
122381560,122502320,0,13271713,East English Street,residential,False,True,31.117,1.3725668578985868,0.0002718660411496091,"LINESTRING (-97.2890223 37.6843408, -97.2892786 37.684148)",,,,,,,
122381560,122381548,0,13255089,South Fountain Street,residential,False,True,145.826,1.9828235369582812,5.752548880323015e-05,"LINESTRING (-97.2890223 37.6843408, -97.289041 37.68471, -97.288955 37.685153, -97.288904 37.6856451)",,,,,,,
