u,v,key,osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,Inverse SP,Cost of return,Edge Betweenness,width,bridge,junction,tunnel,access,ref,Groups
260566392,1993107662,0,24026993,residential,,30,Rue Bernoulli,True,False,134.3372903780202,"LINESTRING (2.3193369 48.8805462, 2.3194101 48.8805589, 2.320974 48.8808765, 2.3210902 48.8809061)",244.74215512382315,5.935700060986381,0.0004984108295194,,,,,,,C
260567154,27235037,0,37073512,primary,2,30,Boulevard des Batignolles,True,False,94.69804466740555,"LINESTRING (2.3204994 48.8819839, 2.3206598 48.8820124, 2.3209381 48.8820734, 2.3211766 48.8821256, 2.3217339 48.8822408)",538.0965606920404,13.742606443493358,0.0148957131033692,,,,,,,C
260567154,367917,0,105307995,secondary,2,30,Rue de Rome,False,True,26.9983569582987,"LINESTRING (2.3204994 48.8819839, 2.3204364 48.8820736, 2.3204121 48.8821103, 2.3203489 48.8822056)",26.9983569582987,1.8846962183867504,0.0140343272705288,,,,,,,C
260567154,1993107662,0,"[538072520, 330424446]",secondary,2,30,Rue de Rome,False,False,127.42081992571129,"LINESTRING (2.3204994 48.8819839, 2.3205888 48.8818397, 2.3206246 48.8817643, 2.3207564 48.8815222, 2.3210639 48.8809591, 2.3210902 48.8809061)",127.42081992571129,1.6840309922863697,0.0104998912101515,,,,,,,C
260567880,260567950,0,24027202,residential,,30,Rue Maleville,True,False,115.4872391345248,"LINESTRING (2.3148868 48.8773858, 2.314785 48.8773822, 2.3134021 48.8773353, 2.3133097 48.8773322)",187.47497386981712,4.631334661639652,0.0002323005075709,,,,,,,C
260567950,27235248,0,"[1321734864, 332682194, 1321734990]",residential,,30,Rue Mollien,True,False,34.9204306447337,"LINESTRING (2.3133097 48.8773322, 2.3133011 48.8774243, 2.3132858 48.8775867, 2.3132846 48.8776037, 2.3132817 48.8776457)",268.04178235960825,4.493908464089044,0.0030406555155142,,,,,,,C
260568406,16820933,0,"[24027249, 39376126]",secondary,2,30,Place du 18 Juin 1940,True,False,59.58547078232911,"LINESTRING (2.3241659 48.8441726, 2.3238323 48.8441107, 2.3237658 48.8440984, 2.3233822 48.8440272)",121.35207267964977,3.5752165918642,0.0224024310566995,,,,,,,C
260568406,25256261,0,"[673559990, 673559991]",secondary,2,30,Rue de Rennes,False,True,51.7537269006874,"LINESTRING (2.3241659 48.8441726, 2.3242048 48.8442164, 2.3242287 48.8442433, 2.3244457 48.8444631, 2.3245446 48.8445656)",51.7537269006874,1.7100569960736252,0.0163373915448643,,,,,,,C
260685981,708253753,0,55218337,secondary,3,30,Rue RÃÂÃÂ©aumur,True,False,30.101566510570407,"LINESTRING (2.3556706 48.8655462, 2.3557817 48.8655227, 2.3558231 48.8655139, 2.3560623 48.8654632)",460.7311415529484,11.509289462559575,0.0169099306108162,,,,,,,C
260685981,2402569198,0,231935486,secondary,2,30,Rue Beaubourg,True,False,18.144427176559915,"LINESTRING (2.3556706 48.8655462, 2.3556692 48.8654686, 2.3556678 48.8654458, 2.3556639 48.8653831)",430.2584215699519,10.04764925678829,0.030202101878406,,,,,,,C
260688993,94156558,0,24037143,other,,20,Rue Jarry,True,False,118.6512580785041,"LINESTRING (2.3567949 48.8738164, 2.3566968 48.8738379, 2.3566342 48.8738521, 2.3553575 48.8741365, 2.3552614 48.874164)",1838.5186935445784,23.551408184424744,0.0002910308634244,,,,,,,C
260688993,663044417,0,66929003,primary,4,30,Boulevard de Strasbourg,True,False,79.96414403394895,"LINESTRING (2.3567949 48.8738164, 2.3568689 48.873948, 2.3569123 48.8740251, 2.3571509 48.8744497, 2.3571645 48.8744739, 2.3571741 48.8744909)",699.7792512411297,10.174402560341944,0.0313329615418603,,,,,,,C
260692363,94177741,0,686330505,primary,1,30,Boulevard de Clichy,True,False,169.9820658435506,"LINESTRING (2.3348365 48.8829698, 2.3359905 48.8826285, 2.336768 48.8824047, 2.3368449 48.8823806, 2.3369571 48.8823438)",332.51513819665433,4.395001995634574,0.0133241245999117,,,,,,,C
260692394,332408873,0,24037571,residential,,30,Rue Fromentin,False,False,9.896887369645624,"LINESTRING (2.3343679 48.8819959, 2.3343574 48.8819571, 2.3343267 48.8819118)",9.896887369645624,1.52150044925518,0.0008764124170081,,,,,,,C
260692394,260692363,0,24037572,residential,,30,Rue Fromentin,True,False,113.58575257046348,"LINESTRING (2.3343679 48.8819959, 2.3343941 48.882054, 2.3348204 48.8829365, 2.3348365 48.8829698)",388.9114514697415,4.656948993075865,0.0001975296907175,,,,,,,C
260693073,5077257004,0,10662466,residential,1,30,Rue Moncey,True,False,56.91682030776119,"LINESTRING (2.3306398 48.8800719, 2.3312058 48.8801356, 2.3313309 48.8801393, 2.3314097 48.8801417)",780.3740920130874,16.764208882311728,0.005829266290772,,,,,,,C
260693073,332411809,0,24037672,other,,20,Square Moncey,False,False,60.77391075789775,"LINESTRING (2.3306398 48.8800719, 2.3306257 48.8801201, 2.3304954 48.8805705, 2.3304843 48.8806088)",60.77391075789775,1.595826744046499,0.0005908417949237,,,,,,,C
260693074,332411809,0,24037672,other,,20,Square Moncey,False,True,23.74087133080225,"LINESTRING (2.3304217 48.8808183, 2.3304843 48.8806088)",23.74087133080225,1.381099927320556,0.000147775971627,,,,,,,C
260694385,260423175,0,4208731,secondary,3,30,Rue Ordener,False,True,55.14471167635537,"LINESTRING (2.335098 48.8938039, 2.3343602 48.8939071)",55.14471167635537,1.5610947123864485,0.0032360666325918,,,,,,,C
