u,v,key,osmid,bridge,oneway,lanes,highway,reversed,length,maxspeed,geometry,Cost of returning,Edge Betweenness,ref,name,tunnel,access,width,junction
122995502,122995499,0,161705339,,False,2,residential,True,122.798,,"LINESTRING (-118.2569323 34.0705109, -118.2568095 34.0706605, -118.2566839 34.070762, -118.2565312 34.0708424, -118.256495 34.0708615, -118.2558762 34.071159)",1.5744237433674124,0.0007133341316119999,,West Edgeware Road,,,,
122996001,122996003,0,161716098,,False,,residential,False,229.398,,"LINESTRING (-118.2659844 34.0225849, -118.2638086 34.0215829)",1.7364347730599046,0.0007566199689330018,,East 27th Street,,,,
122996001,123015376,0,181418910,,False,2,tertiary,False,96.301,,"LINESTRING (-118.2659844 34.0225849, -118.266474 34.0218198)",1.8084856485956442,0.0029952505555995994,,Maple Avenue,,,,
122996001,4012726932,0,13351614,,False,,residential,True,338.116,,"LINESTRING (-118.2659844 34.0225849, -118.2684731 34.023697, -118.2686322 34.0237682, -118.2692136 34.0240282)",1.6531706741155408,0.0007797331945677215,,East 27th Street,,,,
122996001,123015373,0,181418910,,False,2,tertiary,True,104.672,,"LINESTRING (-118.2659844 34.0225849, -118.2656637 34.0230701, -118.2655916 34.0231845, -118.2654469 34.0234141)",1.7030219723334903,0.003313601421657457,,Maple Avenue,,,,
122996003,123639583,0,161716061,,False,,residential,True,106.673,,"LINESTRING (-118.2638086 34.0215829, -118.263287 34.0224393)",1.7123269812853132,0.002049372672945152,,Trinity Street,,,,
122996003,123367925,0,161716063,,False,,residential,False,95.415,,"LINESTRING (-118.2638086 34.0215829, -118.2642961 34.0208259)",1.7686976842466595,0.0014115535075290304,,Trinity Street,,,,
122996003,122996001,0,161716098,,False,,residential,True,229.398,,"LINESTRING (-118.2638086 34.0215829, -118.2659844 34.0225849)",1.7364347730599041,0.0007566787812119705,,East 27th Street,,,,
122996003,1790748050,0,161716098,,False,,residential,False,205.01500000000001,,"LINESTRING (-118.2638086 34.0215829, -118.2620514 34.0206853, -118.2618942 34.0206589)",1.7468278285451846,0.0007946715134257847,,East 27th Street,,,,
122996009,122723260,0,167700687,,False,,residential,False,211.807,,"LINESTRING (-118.2600737 34.0198804, -118.2580611 34.0189608)",1.7380691792711287,0.0006001204945971512,,East 27th Street,,,,
122996009,1790748050,0,167700687,,False,,residential,True,189.8,,"LINESTRING (-118.2600737 34.0198804, -118.2617405 34.0206444, -118.2618942 34.0206589)",1.8689807897549733,0.0017368442225052009,,East 27th Street,,,,
122996009,123367927,0,999456821,,False,,residential,False,113.603,,"LINESTRING (-118.2600737 34.0198804, -118.2603302 34.0194892, -118.260578 34.0190513, -118.2606314 34.0189698)",1.6967210521085856,0.0003598135227308282,,Stanford Avenue,,,,
122996009,123639586,0,999456821,,False,,residential,True,114.529,,"LINESTRING (-118.2600737 34.0198804, -118.2598095 34.0203072, -118.2595578 34.0206914, -118.2594469 34.0207573)",1.7287574866675073,0.0006461705090296845,,Stanford Avenue,,,,
122996012,122594827,0,167700687,,False,,residential,False,155.587,,"LINESTRING (-118.2568595 34.0184273, -118.2553784 34.0177559)",1.7686311715420175,0.0006108831416484329,,East 27th Street,,,,
122996012,122723260,0,167700687,,False,,residential,True,125.633,,"LINESTRING (-118.2568595 34.0184273, -118.2580611 34.0189608)",1.7618472633316886,0.0007827914330740967,,East 27th Street,,,,
122996012,123367929,0,13438890,,False,,residential,False,115.88300000000001,,"LINESTRING (-118.2568595 34.0184273, -118.2571247 34.018006, -118.257441 34.0175033)",1.741673490882202,0.00020531366587991522,,Paloma Street,,,,
122996012,123607546,0,13438890,,False,,residential,True,114.835,,"LINESTRING (-118.2568595 34.0184273, -118.2565874 34.0188591, -118.2562836 34.0193431)",1.5780645899375922,0.00023172037913688512,,Paloma Street,,,,
122996017,123176295,0,148397206,,False,,residential,False,111.965,,"LINESTRING (-118.2530531 34.0167303, -118.2536409 34.0158491)",1.7863797894278033,0.0056505073264808406,,Naomi Avenue,,,,
122996017,122996020,0,167700687,,False,,residential,False,228.991,,"LINESTRING (-118.2530531 34.0167303, -118.2508682 34.0157499)",1.8056516928597364,0.0007055120985091558,,East 27th Street,,,,
122996017,123176292,0,148397206,,False,,residential,True,112.982,,"LINESTRING (-118.2530531 34.0167303, -118.2527924 34.0171552, -118.252497 34.0176358)",1.767865128356938,0.00978771590281671,,Naomi Avenue,,,,
122996017,122594827,0,167700687,,False,,residential,True,242.767,,"LINESTRING (-118.2530531 34.0167303, -118.2547818 34.0174928, -118.2553784 34.0177559)",1.7623607827647112,0.0009316453111440095,,East 27th Street,,,,
122996020,122996023,0,167700687,,False,,residential,False,145.647,,"LINESTRING (-118.2508682 34.0157499, -118.2495005 34.0150938)",1.529226267521069,0.000727096204890688,,East 27th Street,,,,
122996020,122996017,0,167700687,,False,,residential,True,228.991,,"LINESTRING (-118.2508682 34.0157499, -118.2530531 34.0167303)",1.8056516928597353,0.000806492781498504,,East 27th Street,,,,
122996020,123367931,0,604116043,,False,,tertiary,False,101.24799999999999,,"LINESTRING (-118.2508682 34.0157499, -118.2511597 34.0154202, -118.2515176 34.0150155)",1.4736956949957978,0.005898753956007945,,Hooper Avenue,,,,
122996020,123567393,0,604116043,,False,,tertiary,True,113.026,,"LINESTRING (-118.2508682 34.0157499, -118.2505196 34.0161542, -118.2501552 34.0165769)",1.9268851101498803,0.007009659093448712,,Hooper Avenue,,,,
122996023,122996020,0,167700687,,False,,residential,True,145.647,,"LINESTRING (-118.2495005 34.0150938, -118.2508682 34.0157499)",1.5292262675210697,0.000727096204890688,,East 27th Street,,,,
122996023,123367931,0,161716029,,False,,residential,True,246.94899999999998,,"LINESTRING (-118.2495005 34.0150938, -118.2497789 34.0147184, -118.2500069 34.0144108, -118.2502902 34.0144464, -118.2513802 34.0150155, -118.2515176 34.0150155)",1.4867970501987304,0.0,,East 28th Street,,,,
